feature	strategy	crates_added	binary_bytes	build_secs_off	build_secs_on	peak_rss_bytes	disk_write_bytes	disk_read_bytes	wall_ms_off	wall_ms_on	pct_cost	events_per_sec	verdict	notes
sysmetrics	drain	21	+196752	5.98,6.07,5.89	6.17,6.23,6.28	+3096576	+0	+0	44.51,42.43,40.88	46.24,43.94,44.77	+0.055	446738	in the noise	the bought observer runs on its own thread and samples on an interval, so most of its work is off the workload's wall; the row reads the noise it adds
sysmetrics	on-commit	21	+196752	5.98,6.07,5.89	6.17,6.23,6.28	+2342912	+0	+0	47.08,45.48,43.34	43.11,42.66,45.14	-0.052	463898	in the noise	the bought observer runs on its own thread and samples on an interval, so most of its work is off the workload's wall; the row reads the noise it adds
procmetrics	immediate	10	+19552	6.01,6.06,6.09	6.23,6.01,6.00	+1884160	+0	+0	44.08,44.57,43.58	46.53,47.40,50.16	+0.076	421902	cost	the bought process collector through the metrics facade, sampled on a bounded span cadence
procmetrics	drain	10	+19552	6.01,6.06,6.09	6.23,6.01,6.00	+3801088	+0	+0	45.73,40.39,43.05	49.09,48.46,49.17	+0.140	407429	cost	the bought process collector through the metrics facade, sampled on a bounded span cadence
procmetrics	on-commit	10	+19552	6.01,6.06,6.09	6.23,6.01,6.00	-4587520	+0	+0	44.32,42.20,45.10	47.84,51.93,43.06	+0.079	418070	in the noise	the bought process collector through the metrics facade, sampled on a bounded span cadence
metrics-ctx	immediate	36	+54640	6.04,5.76,6.14	7.67,6.74,6.25	+1622016	+0	+0	44.80,46.64,45.41	53.88,52.57,53.70	+0.183	372405	cost	the bought span-field label layer over the facade recorder
metrics-ctx	drain	36	+54640	6.04,5.76,6.14	7.67,6.74,6.25	+1409024	+0	+0	46.66,46.20,46.63	51.06,51.87,53.35	+0.112	385619	cost	the bought span-field label layer over the facade recorder
metrics-ctx	on-commit	36	+54640	6.04,5.76,6.14	7.67,6.74,6.25	-2359296	+0	+0	46.35,49.18,50.33	52.93,53.00,52.08	+0.076	377858	cost	the bought span-field label layer over the facade recorder
sqlite-sink	immediate	6	+129088	4.99,4.92,4.95	5.53,5.64,5.11	+3014656	+1461710848	+32768	6.38,6.08,6.48	10342.95,6471.18,6281.96	+1012.656	3091	cost	dictionary-encoded: repeated columns interned once, per-row values stored as they are
sqlite-sink	drain	6	+129088	4.99,4.92,4.95	5.53,5.64,5.11	+6717440	+8327168	+0	6.11,6.09,6.06	70.95,76.09,77.01	+11.502	262857	cost	dictionary-encoded: repeated columns interned once, per-row values stored as they are
sqlite-sink	on-commit	6	+129088	4.99,4.92,4.95	5.53,5.64,5.11	+5767168	+2109440	+0	5.95,6.05,6.12	57.98,55.87,56.92	+8.405	351388	cost	dictionary-encoded: repeated columns interned once, per-row values stored as they are
sqlite-sink-text	immediate	6	+129088	5.11,5.61,5.79	5.35,5.58,5.38	+4030464	+1455091712	+32768	6.61,6.49,6.20	8253.41,7302.06,6726.79	+1124.646	2739	cost	the same shape with every key inlined; the R4 control for the dictionary
sqlite-sink-text	drain	6	+129088	5.11,5.61,5.79	5.35,5.58,5.38	+8011776	+9654272	+8192	6.19,6.24,6.13	66.11,66.24,67.03	+9.706	301930	cost	the same shape with every key inlined; the R4 control for the dictionary
sqlite-sink-text	on-commit	6	+129088	5.11,5.61,5.79	5.35,5.58,5.38	+7471104	+3829760	+4096	6.16,6.77,6.01	65.19,57.31,58.98	+8.582	339117	cost	the same shape with every key inlined; the R4 control for the dictionary
rusage	immediate	0	+17328	4.86,4.84,5.23	4.80,4.83,5.58	-131072	+0	+0	8.97,6.89,6.38	18.99,27.57,20.19	+1.929	990477	cost	the sampler is compiled into every build, so this row prices the publishing layer alone
rusage	drain	0	+17328	4.86,4.84,5.23	4.80,4.83,5.58	-32768	+0	+0	6.05,6.46,5.96	18.95,18.85,19.00	+2.133	1055578	cost	the sampler is compiled into every build, so this row prices the publishing layer alone
rusage	on-commit	0	+17328	4.86,4.84,5.23	4.80,4.83,5.58	+16384	+0	+0	6.06,6.16,6.08	19.80,19.26,20.09	+2.256	1010097	cost	the sampler is compiled into every build, so this row prices the publishing layer alone
tracy	immediate	6	+183680	4.63,4.61,4.58	4.75,5.21,4.73	+20692992	+0	+0	6.12,6.07,5.97	17.66,17.75,17.43	+1.910	1132511	cost	tracy drops a span entered and exited on different threads, so its timeline is wrong under async
tracy	drain	6	+183680	4.63,4.61,4.58	4.75,5.21,4.73	+20774912	+0	+0	6.21,5.98,6.12	17.50,17.42,17.83	+1.861	1142748	cost	tracy drops a span entered and exited on different threads, so its timeline is wrong under async
tracy	on-commit	6	+183680	4.63,4.61,4.58	4.75,5.21,4.73	+20791296	+0	+0	6.15,6.14,5.89	17.76,18.39,17.92	+1.918	1115934	cost	tracy drops a span entered and exited on different threads, so its timeline is wrong under async
tracy-alloc	immediate	3	+141632	4.59,4.72,4.69	4.65,4.65,4.66	+2179072	+0	+0	6.11,6.10,6.04	6.42,5.99,6.04	-0.011	3312583	in the noise	the tracked global allocator from the same client the span layer uses; its cost follows the allocation count, and this workload allocates little
tracy-alloc	drain	3	+141632	4.59,4.72,4.69	4.65,4.65,4.66	+2195456	+0	+0	5.91,6.00,5.96	5.91,6.16,6.12	+0.028	3265550	in the noise	the tracked global allocator from the same client the span layer uses; its cost follows the allocation count, and this workload allocates little
tracy-alloc	on-commit	3	+141632	4.59,4.72,4.69	4.65,4.65,4.66	+2277376	+0	+0	6.03,6.00,6.08	6.17,6.00,6.32	+0.022	3243397	in the noise	the tracked global allocator from the same client the span layer uses; its cost follows the allocation count, and this workload allocates little
